,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Clarksdale,US,34.2001,-90.5709,91.38,66,0,8.05,clear sky
80,Saldanha,ZA,-33.0117,17.9442,59.29,91,100,15.88,light rain
81,Faanui,PF,-16.4833,-151.75,79.72,75,48,23.35,scattered clouds
82,Aracuai,BR,-16.8497,-42.0703,74.01,50,91,2.21,overcast clouds
83,Bredasdorp,ZA,-34.5322,20.0403,61.65,60,100,11.05,overcast clouds
84,Port Alfred,ZA,-33.5906,26.891,76.17,29,100,5.99,overcast clouds
85,Inegol,TR,40.0781,29.5133,65.48,93,74,2.77,broken clouds
86,Tuatapere,NZ,-46.1333,167.6833,46.36,84,100,20.6,overcast clouds
87,Vostok,RU,46.4856,135.8833,66.67,43,6,1.39,clear sky
88,Mar Del Plata,AR,-38.0023,-57.5575,51.1,71,89,1.01,overcast clouds
89,Nazca,PE,-14.8333,-74.95,68.81,54,0,1.83,clear sky
90,Basmat,IN,19.3167,77.1667,82.72,62,90,4.14,overcast clouds
91,Saint George,US,37.1041,-113.5841,105.64,5,0,32.21,clear sky
92,Bjerkvik,NO,68.5597,17.5189,50.99,88,81,4.21,broken clouds
93,Oktyabrskiy,RU,54.4815,53.471,46.45,93,95,4.5,overcast clouds
94,Nome,US,64.5011,-165.4064,51.17,53,100,8.05,overcast clouds
95,Vrangel,RU,42.7297,133.0839,55.15,76,100,10.67,overcast clouds
96,Kencong,ID,-8.2833,113.3667,76.82,87,68,2.75,broken clouds
97,Price,US,39.5994,-110.8107,97.86,5,0,21.85,clear sky
98,Maun,BW,-19.9833,23.4167,51.93,60,0,5.46,clear sky
99,Cherskiy,RU,68.75,161.3,67.69,30,29,1.05,scattered clouds
100,Skjervoy,NO,70.0311,20.9714,44.6,79,97,5.5,overcast clouds
101,Berkak,NO,62.825,10.0118,46.6,96,99,1.07,overcast clouds
102,Praia,CV,14.9215,-23.5087,73.15,87,7,7.83,clear sky
103,East London,ZA,-33.0153,27.9116,75.72,30,100,10.71,overcast clouds
104,Saint-Philippe,RE,-21.3585,55.7679,69.39,88,83,13.35,light rain
105,Tokur,RU,53.1333,132.9,68.27,50,100,3.62,overcast clouds
106,Mantua,IT,45.1667,10.7833,74.44,74,0,1.99,clear sky
107,Hithadhoo,MV,-0.6,73.0833,83.62,72,100,8.01,light rain
108,Sarakhs,IR,36.5449,61.1577,74.91,42,2,2.51,clear sky
109,Thompson,CA,55.7435,-97.8558,72.16,39,99,8.86,overcast clouds
110,Gemena,CD,3.25,19.7667,68.86,99,100,2.28,light rain
111,Auki,SB,-8.7676,160.7034,85.05,61,12,2.33,few clouds
112,Avarua,CK,-21.2078,-159.775,78.85,65,100,13.8,overcast clouds
113,Salinopolis,BR,-0.6136,-47.3561,78.67,82,22,10.11,few clouds
114,Bambous Virieux,MU,-20.3428,57.7575,70.21,77,97,17.98,light rain
115,Mikkeli,FI,61.6886,27.2723,53.15,76,0,4.61,clear sky
116,Puerto Ayora,EC,-0.7393,-90.3518,71.55,92,52,10.0,broken clouds
117,Ligayan,PH,4.6533,119.4706,83.75,69,93,4.0,overcast clouds
118,Mananara,MG,-16.1667,49.7667,65.66,85,36,7.61,scattered clouds
119,Nizhneudinsk,RU,54.9076,99.0276,70.41,65,100,2.86,overcast clouds
120,Havre,FR,49.5833,0.3333,56.97,82,0,11.5,clear sky
121,Kavieng,PG,-2.5744,150.7967,83.01,75,83,13.27,light rain
122,Constitucion,CL,-35.3333,-72.4167,49.51,90,99,1.92,overcast clouds
123,Virginia Beach,US,36.8529,-75.978,80.06,89,40,8.05,scattered clouds
124,Klaksvik,FO,62.2266,-6.589,47.32,96,96,14.27,overcast clouds
125,Schwandorf,DE,49.3262,12.1093,63.72,97,76,4.12,light rain
126,San Antonio,US,29.4241,-98.4936,106.25,24,0,14.97,clear sky
127,Liwale,TZ,-9.7667,37.9333,62.69,55,10,4.79,clear sky
128,Hawera,NZ,-39.5917,174.2833,54.23,62,74,25.41,light rain
129,Ciudad Bolivar,VE,8.1222,-63.5497,75.67,91,99,4.65,overcast clouds
130,Ranong,TH,9.9658,98.6348,79.9,86,77,6.08,broken clouds
131,Lavrentiya,RU,65.5833,-171.0,40.84,61,99,2.64,overcast clouds
132,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,100,10.36,overcast clouds
133,Blagoyevo,RU,63.3667,47.9167,46.0,63,60,2.95,broken clouds
134,Clyde River,CA,70.4692,-68.5914,34.43,69,52,3.87,broken clouds
135,Acapulco,MX,16.8634,-99.8901,85.82,70,75,9.22,broken clouds
136,Henties Bay,NA,-22.116,14.2845,62.65,64,0,6.78,clear sky
137,Touros,BR,-5.1989,-35.4608,76.57,83,44,9.28,scattered clouds
138,Arraial Do Cabo,BR,-22.9661,-42.0278,67.93,63,100,22.3,overcast clouds
139,Kilindoni,TZ,-7.9139,39.6668,78.87,71,24,17.45,few clouds
140,Cadillac,US,44.2519,-85.4012,66.11,45,0,4.61,clear sky
141,Atuona,PF,-9.8,-139.0333,77.88,66,75,16.84,broken clouds
142,Lensk,RU,60.7253,114.9278,62.58,42,10,5.48,clear sky
143,Hong Gai,VN,20.956,107.0946,84.11,86,100,6.49,overcast clouds
144,Sasykoli,RU,47.5515,46.9968,72.91,47,41,17.02,scattered clouds
145,Mayo,US,38.8876,-76.5119,80.19,80,0,8.05,clear sky
146,Almaznyy,RU,48.0448,40.045,62.94,69,16,9.08,few clouds
147,Pevek,RU,69.7008,170.3133,38.62,64,70,8.95,broken clouds
148,Dogondoutchi,NE,13.6393,4.0287,89.04,44,52,5.3,light rain
149,Changping,CN,40.2186,116.2197,64.04,74,96,2.15,overcast clouds
150,Jashpurnagar,IN,22.9,84.15,80.1,51,62,2.19,broken clouds
151,Talnakh,RU,69.4865,88.3972,63.21,40,96,4.03,overcast clouds
152,Marsa Matruh,EG,31.3525,27.2453,71.29,88,0,11.41,clear sky
153,Sitka,US,57.0531,-135.33,51.69,82,100,5.75,light rain
154,Poitiers,FR,46.5833,0.3333,63.01,63,0,11.5,clear sky
155,Bereda,ES,43.2686,-7.5406,62.42,96,100,8.14,overcast clouds
156,Tiarei,PF,-17.5333,-149.3333,84.22,69,25,21.16,scattered clouds
157,Tretten,NO,61.3142,10.3007,46.56,74,52,4.14,broken clouds
158,Avera,US,33.194,-82.5271,91.45,50,79,5.99,broken clouds
159,Sorong,ID,-0.8833,131.25,79.95,83,100,7.23,overcast clouds
160,Tulagi,SB,-9.0996,160.1476,82.74,71,10,12.12,clear sky
161,Ribeira Grande,PT,38.5167,-28.7,62.8,77,14,22.95,few clouds
162,Wewak,PG,-3.5534,143.6268,81.46,79,41,7.16,scattered clouds
163,Lima,PE,-12.0432,-77.0282,62.91,81,100,10.36,overcast clouds
164,Deep River,CA,46.1001,-77.4995,63.95,75,30,7.92,scattered clouds
165,Zambezi,ZM,-13.5432,23.1047,53.01,65,0,4.43,clear sky
166,Hobyo,SO,5.3505,48.5268,78.44,80,99,24.27,overcast clouds
167,Dikson,RU,73.5069,80.5464,29.97,94,100,17.65,overcast clouds
168,Mutoko,ZW,-17.397,32.2268,48.69,89,0,2.75,clear sky
169,Shangrao,CN,28.4532,117.9686,68.88,98,100,2.13,overcast clouds
170,Saint-Augustin,CA,51.226,-58.6502,55.58,70,77,4.92,broken clouds
171,Khorramshahr,IR,30.4397,48.1664,91.11,14,0,9.84,clear sky
172,Chapais,CA,49.7834,-74.8492,56.98,98,98,4.25,overcast clouds
173,Bayan,CN,46.0833,127.4,62.1,93,100,6.24,overcast clouds
174,Kos,GR,36.8933,27.2889,69.24,81,3,14.7,clear sky
175,Ritchie,ZA,-29.038,24.6028,51.53,50,87,11.81,overcast clouds
176,Matay,EG,28.419,30.7792,78.3,54,0,10.33,clear sky
177,Arauco,CL,-37.2463,-73.3175,47.62,91,97,1.74,overcast clouds
178,Luangwa,ZM,-15.6167,30.4167,56.12,78,0,2.86,clear sky
