City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
416,Sidi Ali,DZ,77.16,broken clouds,36.0998,0.4206,Complexe touristique haje bezine
421,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
430,Aransas Pass,US,87.89,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
437,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
438,Lazaro Cardenas,MX,85.1,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
444,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
454,Weligama,LK,78.87,light rain,5.9667,80.4167,Weligama Bay Resort
456,Nouakchott,MR,75.13,clear sky,18.0858,-15.9785,HOTEL IMAN
464,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
468,Le Marin,MQ,82.31,few clouds,14.4721,-60.8697,Résidence des îles
470,Cam Ranh,VN,84.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
471,Macau,MO,84.85,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
477,Puerto Madero,MX,79.0,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
480,Moussoro,TD,89.87,broken clouds,13.6408,16.4901,Hôtel Salama
495,Mitsamiouli,KM,76.77,scattered clouds,-11.3847,43.2844,Foyer ADM
498,Marawi,PH,75.54,overcast clouds,7.9986,124.2928,Derogongan Residence
501,Abeche,TD,81.19,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
509,Noumea,NC,75.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
513,Ozuluama,MX,85.14,clear sky,21.6667,-97.85,Hotel Posada De La Roma
515,Paka,MY,76.93,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
517,Forecariah,GN,76.78,light rain,9.4306,-13.0881,"Motel "" La Maison Blanche"""
518,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
519,Laguna,US,84.76,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
527,Bafoulabe,ML,89.06,light rain,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
529,Kieta,PG,84.65,light rain,-6.2167,155.6333,Uruna Bay Retreat
534,Ulaangom,MN,75.51,scattered clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
537,Axim,GH,76.68,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
539,Culpeper,US,78.76,scattered clouds,38.5004,-77.9664,Suites at 249
542,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
544,Kawardha,IN,83.97,scattered clouds,22.0167,81.25,STARiHOTELS Raipur Road kawardha
545,Coruripe,BR,75.07,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
555,Oriximina,BR,75.13,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
558,Baniachang,BD,76.73,moderate rain,24.5167,91.3667,ভটে বাড়ি বানিয়াচং হবিগঞ্জ
559,Jertih,MY,75.78,overcast clouds,5.7336,102.4897,One Utama Hotel
564,Puerto Escondido,MX,82.09,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
565,Camocim,BR,76.66,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
569,Bhatkal,IN,77.9,overcast clouds,13.9667,74.5667,Nilawar Palace
573,Gombe,NG,77.63,overcast clouds,10.2897,11.1673,Custodian Hotel Gombe
579,Maragogi,BR,76.24,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
586,Hue,VN,84.31,few clouds,16.4667,107.6,Saigon Morin Hotel
588,Keti Bandar,PK,83.14,clear sky,24.1447,67.4497,Haji laloo memon house
591,Barabai,ID,75.6,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
605,Aksu,CN,78.64,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
609,Veraval,IN,82.47,broken clouds,20.9,70.3667,Lords Inn Somnath
613,Umm Lajj,SA,83.5,clear sky,25.0213,37.2685,Moon light Furnished Units
616,Carroll,US,78.12,scattered clouds,39.5501,-77.0164,Best Western Westminster Hotel
619,Huoqiu,CN,75.81,overcast clouds,32.3394,116.2694,GreenTree Inn AnHui LuAn HuoQiu JianXing Road Express Hotel
620,Champasak,LA,79.68,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
623,Kyaukse,MM,78.8,scattered clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
624,Oussouye,SN,82.49,scattered clouds,12.485,-16.5469,Auberge du Routard
634,Voh,NC,76.89,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
644,Bayeux,BR,75.83,few clouds,-7.125,-34.9322,Infinity Motel
